user_id,elo,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12893028,975,17,99,108,75,101,2,70,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9870909,1368,588,-31,135,-29,-30,-20,-11,-9,54,162,100,-30,-33,-5,181,167,181,-21,-30,-69,52,-87,-59,-29,-9,-20,-28,85,-29,-23,-31,-29,109,-30,-38,-37,-18,-31,-23,45,-102,-5,154,-28,-37,-26,-13,100,-27,-16,24,35,-26,163,127,105,-28,-22,-63,-26,-8,130,-30,-34,-14,89,-26,-33,-43,-20,-21,58,-52,-56,38,-26,108,-45,-39,-17,-24,-31,0,-30,-2,169,-36,-27,6,-11,-54,84,-25,245,113,-28,102,-69,-35,-31,-21
11628058,1365,150,134,-6,-58,-85,51,36,-22,-15,-55,-15,57,-58,-55,-27,-32,-27,-45,-12,108,-121,-32,-37,-27,-26,-30,-21,136,75,-39,-35,128,-24,143,-32,115,-36,129,-21,159,-39,104,-62,-27,-40,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18001572,1363,45,91,-27,135,-80,-37,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8613466,1360,338,4,7,8,6,11,42,-19,6,7,85,-39,-28,-31,-20,87,-27,92,-33,-31,-3,-5,64,-32,116,-21,55,-17,-27,-16,65,-42,-32,-39,-42,111,106,-34,109,103,94,89,-14,92,-28,-35,62,-40,-26,-27,-44,-44,-30,115,-24,-35,-33,-14,79,75,51,-39,-47,-31,-33,46,103,-38,-40,-31,-32,-32,-62,8,109,-38,-25,-42,-32,-20,-41,55,-13,-24,-30,57,-10,-10,-22,66,54,-62,-31,-19,-26,-19,-12,-10,99,-8,44
15028519,1356,9,148,104,50,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14160438,1356,146,141,-31,122,125,-18,-40,-33,91,-24,104,-35,-25,-37,101,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9771006,1354,350,144,75,-17,-13,87,-60,-32,-69,-9,-9,-14,-11,-8,-12,-15,33,54,-15,145,-13,-13,66,-5,-12,135,-11,-22,-8,89,-17,-20,-6,-39,-6,-9,165,93,-14,-14,136,-11,59,-8,127,97,132,-13,-30,-23,-5,94,140,-50,-11,4,-11,-4,-6,-28,94,-8,-16,-30,155,-15,-7,99,-10,-12,-30,70,-13,-11,-9,84,-14,-7,-16,146,-157,-9,-18,-120,119,-3,-54,-24,49,-19,-9,-8,28,99,124,-16,-64,-32,143,107,-5
18136007,1354,97,38,-44,-36,-46,0,-52,-39,-33,-40,39,-39,-32,-30,5,-35,-16,-21,-25,98,-69,-80,-61,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848386,1352,375,99,-10,-21,-24,55,-29,-13,31,81,81,-23,-26,-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18389802,1351,141,134,-35,-19,-20,-10,-62,-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18243508,1351,242,72,-35,-38,-25,-16,103,-35,-61,-44,-31,-54,-52,-35,-12,-27,-8,41,-22,-46,-30,-39,-27,-49,-39,-17,89,108,-42,-35,-19,-34,-44,-35,-34,-40,-32,104,-42,84,-39,-39,-20,82,-26,-27,57,-27,-13,-22,19,-51,-64,-12,114,69,-52,-34,-26,-20,117,-48,-38,87,59,85,98,-19,-26,44,114,-21,-40,-41,-39,-30,-30,88,-41,-27,7,44,-35,-13,-38,-40,52,-45,-63,-46,64,-20,-27,99,-48,56,-35,-24,-16,0,0
